Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11
TRUE,n/a,widowed,secondary,strongly_disagree,purchased,High School,Medium Damage Level,"2,500 - 5,000",No land,shared_toilet
TRUE,n/a,married,higher_edu,agree,purchased,Graduate,Medium Damage Level,"2,500 - 5,000",No land,own_toilet
TRUE,n/a,married,none_primary_only,agree,rainwater,Graduate,Low Damage Level," >15,000",1 or less,own_toilet
TRUE,n/a,widowed,none_primary_only,agree,purchased,High School,Low Damage Level,"2,500 - 5,000",No land,own_toilet
FALSE,n/a,married,higher_edu,agree,purchased,Graduate,Medium Damage Level,"2,500 - 5,000",No land,own_toilet
FALSE,n/a,married,secondary,agree,purchased,High School,Medium Damage Level,"<2,500",1 or less,shared_toilet
TRUE,n/a,single,none_primary_only,agree,purchased,High School,Medium Damage Level,"<2,500",1 or less,shared_toilet
TRUE,n/a,living_together,secondary,agree,purchased,Graduate,Low Damage Level,"<2,500",No land,own_toilet
TRUE,n/a,married,secondary,agree,hand_pump,High School,Medium Damage Level,"2,500 - 5,000",1 or less,own_toilet
TRUE,n/a,married,secondary,strongly_disagree,hand_pump,High School,Low Damage Level,"<2,500",1 or less,shared_toilet
TRUE,n/a,living_together,higher_edu,strongly_disagree,purchased,Graduate,Low Damage Level,"10,001 - 15,000",1 or less,own_toilet
FALSE,n/a,widowed,none_primary_only,agree,hand_pump,Graduate,No Damage/Fully Repaired,"10,001 - 15,000",No land,own_toilet
TRUE,n/a,married,higher_edu,disagree,purchased,Graduate,No Damage/Fully Repaired,"10,001 - 15,000",No land,own_toilet
FALSE,n/a,living_together,secondary,agree,purchased,Graduate,No Damage/Fully Repaired," >15,000",No land,own_toilet
TRUE,n/a,single,secondary,agree,purchased,High School,Low Damage Level,"5,001 - 10,000",1 or less,shared_toilet
FALSE,n/a,living_together,none_primary_only,agree,purchased,High School,No Damage/Fully Repaired,"2,500 - 5,000",No land,shared_toilet
FALSE,n/a,living_together,none_primary_only,strongly_agree,rainwater,Graduate,No Damage/Fully Repaired,"10,001 - 15,000",1 or less,shared_toilet
FALSE,n/a,married,secondary,agree,hand_pump,High School,Medium Damage Level,"2,500 - 5,000",No land,#N/A
FALSE,n/a,separated,secondary,strongly_disagree,purchased,High School,High Damage Level,"5,001 - 10,000",No land,#N/A
FALSE,n/a,living_together,none_primary_only,agree,rainwater,High School,Destroyed/No House,"<2,500",No land,#N/A
TRUE,n/a,single,higher_edu,agree,purchased,High School,Medium Damage Level,"2,500 - 5,000",1 or less,own_toilet
TRUE,n/a,living_together,secondary,agree,purchased,Elementary,Destroyed/No House,"<2,500",No land,#N/A
TRUE,n/a,widowed,none_primary_only,agree,purchased,High School,Medium Damage Level,"<2,500",No land,shared_toilet
FALSE,same,widowed,secondary,agree,tap_hh,High School,Low Damage Level,"5,001 - 10,000",No land,own_toilet
FALSE,n/a,married,none_primary_only,agree,purchased,High School,Low Damage Level,"2,500 - 5,000",No land,own_toilet
TRUE,n/a,married,secondary,agree,purchased,High School,Low Damage Level,"2,500 - 5,000",No land,shared_toilet
TRUE,n/a,single,secondary,agree,purchased,Primary,Medium Damage Level,"<2,500",No land,shared_toilet
TRUE,same,married,secondary,agree,tap_hh,High School,High Damage Level,"<2,500",No land,shared_toilet
TRUE,n/a,married,secondary,agree,rainwater,High School,High Damage Level,"2,500 - 5,000",No land,shared_toilet
TRUE,n/a,living_together,none_primary_only,agree,purchased,Primary,Medium Damage Level,"<2,500",No land,shared_toilet
TRUE,n/a,widowed,none_primary_only,agree,rainwater,Elementary,Medium Damage Level,"<2,500",No land,shared_toilet
TRUE,n/a,living_together,higher_edu,agree,purchased,High School,Medium Damage Level,"5,001 - 10,000",No land,own_toilet
TRUE,n/a,married,higher_edu,agree,purchased,Elementary,Medium Damage Level,"2,500 - 5,000",No land,#N/A
TRUE,same,widowed,none_primary_only,agree,rainwater,Elementary,Destroyed/No House,"<2,500",No land,shared_toilet
TRUE,same,living_together,none_primary_only,agree,rainwater,Elementary,Medium Damage Level,"<2,500",No land,shared_toilet
TRUE,n/a,living_together,none_primary_only,disagree,purchased,Elementary,Medium Damage Level,"2,500 - 5,000",No land,shared_toilet
FALSE,n/a,living_together,none_primary_only,neither,tap_hh,Elementary,Medium Damage Level,"2,500 - 5,000",No land,own_toilet
TRUE,n/a,married,none_primary_only,agree,purchased,Primary,Medium Damage Level,"<2,500",No land,shared_toilet
TRUE,n/a,single,secondary,dont_know,rainwater,Elementary,Medium Damage Level,"5,001 - 10,000",No land,own_toilet
TRUE,n/a,married,higher_edu,agree,purchased,Graduate,Destroyed/No House,"2,500 - 5,000",No land,#N/A
TRUE,n/a,married,higher_edu,agree,purchased,High School,Low Damage Level,"10,001 - 15,000",1 or less,own_toilet
TRUE,n/a,married,secondary,agree,purchased,Elementary,Medium Damage Level,"2,500 - 5,000",No land,own_toilet
TRUE,n/a,married,none_primary_only,agree,hand_pump,Elementary,Medium Damage Level,"<2,500",No land,#N/A
